,csp1,csp2,csp3
759,179.642,0.000,71.116
760,0.000,0.000,0.000
761,0.000,0.000,0.000
762,0.000,0.000,0.000
763,0.000,0.000,0.000
764,0.000,0.000,0.000
765,0.000,0.000,0.000
766,0.000,0.000,0.000
767,0.000,0.000,0.000
768,0.000,0.000,0.000
769,0.000,0.000,0.000
770,0.000,0.000,0.000
771,0.000,0.000,0.000
772,0.000,0.000,0.000
773,0.000,0.000,0.000
774,0.000,2.940,0.000
775,64.544,207.759,0.000
776,329.742,336.393,0.000
777,481.412,351.343,91.267
778,552.399,297.247,232.752
779,574.123,329.876,317.949
780,531.034,227.815,347.665
781,511.365,36.606,303.349
782,412.832,0.000,214.876
783,169.407,0.000,72.277
784,0.544,0.000,0.000
785,0.000,0.000,0.000
786,0.000,0.000,0.000
787,0.000,0.000,0.000
788,0.000,0.000,0.000
789,0.000,0.000,0.000
790,0.000,0.000,0.000
791,0.000,0.000,0.000
792,0.000,0.000,0.000
793,0.000,0.000,0.000
794,0.000,0.000,0.000
795,0.000,0.000,0.000
796,0.000,0.000,0.000
797,0.000,0.000,0.000
798,0.000,0.000,0.000
799,16.799,0.000,0.000
800,35.878,0.000,0.000
801,324.367,50.567,94.296
802,112.723,41.627,237.740
803,138.017,194.791,321.738
804,507.049,7.288,348.159
805,249.401,0.000,313.916
806,114.549,0.000,224.846
807,58.290,0.000,80.690
808,0.000,0.000,0.000
809,0.000,0.000,0.000
810,0.000,0.000,0.000
811,0.000,0.000,0.000
812,0.000,0.000,0.000
813,0.000,0.000,0.000
814,0.000,0.000,0.000
815,0.000,0.000,0.000
816,0.000,0.000,0.000
817,0.000,0.000,0.000
818,0.000,0.000,0.000
819,0.000,0.000,0.000
820,0.000,0.000,0.000
821,0.000,0.000,0.000
822,0.000,29.074,0.000
823,57.488,201.306,0.000
824,328.598,318.852,0.000
825,474.197,344.073,71.616
826,543.333,55.639,240.656
827,565.089,165.840,335.701
828,555.636,61.420,365.265
829,515.568,0.000,328.602
830,399.614,0.000,230.683
831,167.132,0.000,84.262
832,0.000,0.000,0.000
833,0.000,0.000,0.000
834,0.000,0.000,0.000
835,0.000,0.000,0.000
836,0.000,0.000,0.000
837,0.000,0.000,0.000
838,0.000,0.000,0.000
839,0.000,0.000,0.000
840,0.000,0.000,0.000
841,0.000,0.000,0.000
842,0.000,0.000,0.000
843,0.000,0.000,0.000
844,0.000,0.000,0.000
845,0.000,0.000,0.000
846,0.000,0.000,0.000
847,52.021,0.000,0.000
848,308.367,0.636,0.000
849,461.299,108.540,21.613
850,536.127,18.090,46.199
851,558.359,0.000,183.443
852,552.184,0.000,310.551
853,514.111,0.000,75.696
854,384.006,0.000,150.375
855,142.897,0.000,30.363
856,0.000,0.000,0.000
857,0.000,0.000,0.000
858,0.000,0.000,0.000
859,0.000,0.000,0.000
860,0.000,0.000,0.000
861,0.000,0.000,0.000
862,0.000,0.000,0.000
863,0.000,0.000,0.000
864,0.000,0.000,0.000
865,0.000,0.000,0.000
866,0.000,0.000,0.000
867,0.000,0.000,0.000
868,0.000,0.000,0.000
869,0.000,0.000,0.000
870,0.000,0.000,0.000
871,50.968,0.000,0.000
872,302.540,128.444,0.000
873,444.337,183.204,67.415
874,531.956,137.369,31.993
875,555.488,80.692,140.141
876,545.042,62.259,128.588
