,X1,X2,X3
924,0.645,0.645,0.645
925,0.711,0.711,0.711
926,0.377,0.377,0.377
927,0.363,0.363,0.363
928,0.138,0.138,0.138
929,0,0,0
930,0,0,0
931,0,0,0
932,0,0,0
933,0,0,0
934,0,0,0
935,0,0,0
936,0,0,0
937,0,0,0
938,0,0,0
939,0,0,0
940,0,0,0
941,0,0,0
942,0,0,0
943,0,0,0
944,0.035,0.035,0.035
945,0.182,0.182,0.182
946,0.382,0.382,0.382
947,0.329,0.329,0.329
948,0.569,0.569,0.569
949,0.343,0.343,0.343
950,0.248,0.248,0.248
951,0.301,0.301,0.301
952,0.077,0.077,0.077
953,0,0,0
954,0,0,0
955,0,0,0
956,0,0,0
957,0,0,0
958,0,0,0
959,0,0,0
960,0,0,0
961,0,0,0
962,0,0,0
963,0,0,0
964,0,0,0
965,0,0,0
966,0,0,0
967,0,0,0
968,0.021,0.021,0.021
969,0.096,0.096,0.096
970,0.246,0.246,0.246
971,0.122,0.122,0.122
972,0.074,0.074,0.074
973,0.241,0.241,0.241
974,0.144,0.144,0.144
975,0.125,0.125,0.125
976,0.011,0.011,0.011
977,0,0,0
978,0,0,0
979,0,0,0
980,0,0,0
981,0,0,0
982,0,0,0
983,0,0,0
984,0,0,0
985,0,0,0
986,0,0,0
987,0,0,0
988,0,0,0
989,0,0,0
990,0,0,0
991,0,0,0
992,0.015,0.015,0.015
993,0.04,0.04,0.04
994,0.047,0.047,0.047
995,0.066,0.066,0.066
996,0.196,0.196,0.196
997,0.378,0.378,0.378
998,0.464,0.464,0.464
999,0.364,0.364,0.364
1000,0.127,0.127,0.127
1001,0,0,0
1002,0,0,0
1003,0,0,0
1004,0,0,0
1005,0,0,0
1006,0,0,0
1007,0,0,0
1008,0,0,0
1009,0,0,0
1010,0,0,0
1011,0,0,0
1012,0,0,0
1013,0,0,0
1014,0,0,0
1015,0,0,0
1016,0.035,0.035,0.035
1017,0.072,0.072,0.072
1018,0.098,0.098,0.098
1019,0.112,0.112,0.112
1020,0.144,0.144,0.144
1021,0.072,0.072,0.072
1022,0.046,0.046,0.046
1023,0.097,0.097,0.097
1024,0.069,0.069,0.069
1025,0.007,0.007,0.007
1026,0,0,0
1027,0,0,0
1028,0,0,0
1029,0,0,0
1030,0,0,0
1031,0,0,0
1032,0,0,0
1033,0,0,0
1034,0,0,0
1035,0,0,0
1036,0,0,0
1037,0,0,0
1038,0,0,0
1039,0,0,0
1040,0.043,0.043,0.043
1041,0.377,0.377,0.377
1042,0.448,0.448,0.448
1043,0.458,0.458,0.458
1044,0.57,0.57,0.57
1045,0.536,0.536,0.536
1046,0.341,0.341,0.341
1047,0.378,0.378,0.378
1048,0.168,0.168,0.168
1049,0.007,0.007,0.007
1050,0,0,0
1051,0,0,0
1052,0,0,0
1053,0,0,0
1054,0,0,0
1055,0,0,0
1056,0,0,0
1057,0,0,0
1058,0,0,0
1059,0,0,0
1060,0,0,0
1061,0,0,0
1062,0,0,0
1063,0,0,0
1064,0.023,0.023,0.023
1065,0.05,0.05,0.05
1066,0.066,0.066,0.066
1067,0.059,0.059,0.059
1068,0.054,0.054,0.054
1069,0.052,0.052,0.052
1070,0.038,0.038,0.038
1071,0.028,0.028,0.028
1072,0.017,0.017,0.017
1073,0.001,0.001,0.001
1074,0,0,0
1075,0,0,0
1076,0,0,0
1077,0,0,0
1078,0,0,0
1079,0,0,0
1080,0,0,0
1081,0,0,0
1082,0,0,0
1083,0,0,0
1084,0,0,0
1085,0,0,0
1086,0,0,0
1087,0.002,0.002,0.002
1088,0.048,0.048,0.048
1089,0.161,0.161,0.161
1090,0.511,0.511,0.511
1091,0.409,0.409,0.409
1092,0.333,0.333,0.333
1093,0.369,0.369,0.369
1094,0.592,0.592,0.592
1095,0.273,0.273,0.273
1096,0.075,0.075,0.075
1097,0.006,0.006,0.006
1098,0,0,0
1099,0,0,0
1100,0,0,0
1101,0,0,0
1102,0,0,0
1103,0,0,0
1104,0,0,0
1105,0,0,0
1106,0,0,0
1107,0,0,0
1108,0,0,0
1109,0,0,0
1110,0,0,0
1111,0.007,0.007,0.007
1112,0.161,0.161,0.161
1113,0.347,0.347,0.347
1114,0.611,0.611,0.611
1115,0.753,0.753,0.753
1116,0.781,0.781,0.781
1117,0.755,0.755,0.755
1118,0.621,0.621,0.621
1119,0.434,0.434,0.434
1120,0.167,0.167,0.167
1121,0.014,0.014,0.014
1122,0,0,0
1123,0,0,0
1124,0,0,0
1125,0,0,0
1126,0,0,0
1127,0,0,0
1128,0,0,0
1129,0,0,0
1130,0,0,0
1131,0,0,0
1132,0,0,0
1133,0,0,0
1134,0,0,0
1135,0.005,0.005,0.005
1136,0.035,0.035,0.035
1137,0.074,0.074,0.074
1138,0.125,0.125,0.125
1139,0.198,0.198,0.198
1140,0.215,0.215,0.215
1141,0.203,0.203,0.203
1142,0.273,0.273,0.273
1143,0.257,0.257,0.257
1144,0.061,0.061,0.061
1145,0.009,0.009,0.009
1146,0,0,0
1147,0,0,0
1148,0,0,0
1149,0,0,0
1150,0,0,0
1151,0,0,0
1152,0,0,0
1153,0,0,0
1154,0,0,0
1155,0,0,0
1156,0,0,0
1157,0,0,0
1158,0,0,0
1159,0.002,0.002,0.002
1160,0.07,0.07,0.07
1161,0.085,0.085,0.085
1162,0.088,0.088,0.088
1163,0.304,0.304,0.304
1164,0.277,0.277,0.277
1165,0.202,0.202,0.202
1166,0.27,0.27,0.27
1167,0.138,0.138,0.138
1168,0.126,0.126,0.126
1169,0.021,0.021,0.021
1170,0,0,0
1171,0,0,0
1172,0,0,0
1173,0,0,0
1174,0,0,0
1175,0,0,0
1176,0,0,0
1177,0,0,0
1178,0,0,0
1179,0,0,0
1180,0,0,0
1181,0,0,0
1182,0,0,0
1183,0.002,0.002,0.002
1184,0.09,0.09,0.09
1185,0.202,0.202,0.202
1186,0.237,0.237,0.237
1187,0.309,0.309,0.309
1188,0.595,0.595,0.595
1189,0.649,0.649,0.649
1190,0.15,0.15,0.15
1191,0.075,0.075,0.075
1192,0.051,0.051,0.051
1193,0.004,0.004,0.004
1194,0,0,0
1195,0,0,0
1196,0,0,0
1197,0,0,0
1198,0,0,0
1199,0,0,0
1200,0,0,0
1201,0,0,0
1202,0,0,0
1203,0,0,0
1204,0,0,0
1205,0,0,0
1206,0,0,0
1207,0.005,0.005,0.005
1208,0.044,0.044,0.044
1209,0.1,0.1,0.1
1210,0.137,0.137,0.137
1211,0.09,0.09,0.09
1212,0.073,0.073,0.073
1213,0.118,0.118,0.118
1214,0.428,0.428,0.428
1215,0.455,0.455,0.455
1216,0.195,0.195,0.195
1217,0.009,0.009,0.009
1218,0,0,0
1219,0,0,0
1220,0,0,0
1221,0,0,0
1222,0,0,0
1223,0,0,0
1224,0,0,0
1225,0,0,0
1226,0,0,0
1227,0,0,0
1228,0,0,0
1229,0,0,0
1230,0,0,0
1231,0.019,0.019,0.019
1232,0.21,0.21,0.21
1233,0.388,0.388,0.388
1234,0.665,0.665,0.665
1235,0.719,0.719,0.719
1236,0.585,0.585,0.585
1237,0.497,0.497,0.497
1238,0.533,0.533,0.533
1239,0.373,0.373,0.373
1240,0.185,0.185,0.185
1241,0.023,0.023,0.023
1242,0,0,0
1243,0,0,0
1244,0,0,0
1245,0,0,0
1246,0,0,0
1247,0,0,0
1248,0,0,0
1249,0,0,0
1250,0,0,0
1251,0,0,0
1252,0,0,0
1253,0,0,0
1254,0,0,0
1255,0.02,0.02,0.02
1256,0.217,0.217,0.217
1257,0.386,0.386,0.386
1258,0.647,0.647,0.647
1259,0.713,0.713,0.713
1260,0.423,0.423,0.423
1261,0.661,0.661,0.661
1262,0.382,0.382,0.382
1263,0.232,0.232,0.232
1264,0.166,0.166,0.166
1265,0.031,0.031,0.031
1266,0,0,0
1267,0,0,0
1268,0,0,0
1269,0,0,0
1270,0,0,0
1271,0,0,0
1272,0,0,0
1273,0,0,0
1274,0,0,0
1275,0,0,0
1276,0,0,0
1277,0,0,0
1278,0,0,0
1279,0.005,0.005,0.005
1280,0.059,0.059,0.059
1281,0.078,0.078,0.078
1282,0.137,0.137,0.137
1283,0.064,0.064,0.064
1284,0.063,0.063,0.063
1285,0.077,0.077,0.077
1286,0.038,0.038,0.038
1287,0.059,0.059,0.059
1288,0.022,0.022,0.022
1289,0.005,0.005,0.005
1290,0,0,0
1291,0,0,0
1292,0,0,0
1293,0,0,0
1294,0,0,0
1295,0,0,0
1296,0,0,0
1297,0,0,0
1298,0,0,0
1299,0,0,0
1300,0,0,0
1301,0,0,0
1302,0,0,0
1303,0.014,0.014,0.014
1304,0.262,0.262,0.262
1305,0.447,0.447,0.447
1306,0.679,0.679,0.679
1307,0.785,0.785,0.785
1308,0.316,0.316,0.316
1309,0.185,0.185,0.185
1310,0.06,0.06,0.06
1311,0.076,0.076,0.076
1312,0.035,0.035,0.035
1313,0.01,0.01,0.01
1314,0,0,0
1315,0,0,0
1316,0,0,0
1317,0,0,0
1318,0,0,0
1319,0,0,0
1320,0,0,0
1321,0,0,0
1322,0,0,0
