,X1,X2,X3
216,-0.63112984,-90.41122174,-24.12374411
217,-0.51965097,-83.05979616,-24.12374411
218,-0.47626818,-75.15766095,-24.12374411
219,-0.46424207,-75.15766095,-24.12374411
220,-0.461760275,-75.15766095,-24.12374411
221,-0.513042251,-95.40940174,-26.80416012
222,-0.71130585,-180.0473884,-30.09572467
223,-0.976262726,-234.6464792,-52.05585025
224,-0.953929254,-200.7188582,-121.9423651
225,-0.810887829,-225.0151791,-113.5937937
226,-0.806663701,-217.587506,-111.6672003
227,-0.823009346,-217.6345375,-113.5937937
228,-0.808095939,-217.6690205,-113.0494452
229,-0.785479598,-199.624235,-115.2015317
230,-0.786138211,-191.3247704,-111.6672003
231,-0.84980194,-199.6790355,-111.6672003
232,-1.083798346,-220.9820973,-114.5770016
233,-1.512456395,-195.2825176,-103.7188156
234,-1.766626287,-248.9453352,-66.11390362
235,-1.74958677,-251.7150954,-63.54511241
236,-1.617416021,-277.0301194,-47.46261634
237,-1.471397486,-257.3525405,-46.17822074
238,-1.188609387,-195.2357633,-26.80416012
239,-0.908137038,-130.6168909,-24.12374411
240,-0.63112984,-90.41122174,-24.12374411
241,-0.51965097,-83.05979616,-24.12374411
242,-0.47626818,-75.15766095,-24.12374411
243,-0.46424207,-75.15766095,-24.12374411
244,-0.461760275,-75.15766095,-24.12374411
245,-0.513042251,-95.40940174,-26.80416012
246,-0.71130585,-179.8928492,-30.09572467
247,-0.976262726,-234.6418949,-52.05585025
248,-0.953929254,-200.7188582,-121.9458109
249,-0.810887829,-224.8891882,-113.5937937
250,-0.806663701,-217.491696,-111.6672003
251,-0.823009346,-217.5543784,-113.5937937
252,-0.808095939,-217.6731543,-113.051025
253,-0.785479598,-199.6296949,-115.2220203
254,-0.786138211,-191.3271213,-111.6672003
255,-0.84980194,-199.6815875,-111.6672003
256,-1.083798346,-220.9821416,-114.5943789
257,-1.512456395,-195.2825176,-103.7340344
258,-1.766626287,-248.9453352,-66.11390362
259,-1.74958677,-251.7150954,-63.54511241
260,-1.617416021,-277.0301194,-47.46261634
261,-1.471397486,-257.3525405,-46.17822074
262,-1.188609387,-195.2355437,-26.80416012
263,-0.908137038,-130.6168909,-24.12374411
264,-0.63112984,-90.41122174,-24.12374411
265,-0.51965097,-83.05979616,-24.12374411
